xflr5 v6.57

A10 - NREL sweep 8deg V2 simple
T1-10.0 m/s-Panel-16751.8kg-x0.0m-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.441429
Cy    = ,  -0.000000
Cd=,   0.006339,ICd=,    0.006339,PCd=,    0.000000
Cl   = ,-1.40844e-15
Cm   =,   -0.398281
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.331062, YCP=,    0.000000, ZCP=,    0.591972 
XNP=,    0.000000
Bending =, 4021.530443

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -11.8479,   1.3349, -2.422, 0.266263, 0.000000, 0.011264,-0.557990,-0.092396, 0.0000, 0.0000, 0.6255, 0.0000
  -11.5337,   1.3926, -1.651, 0.346171, 0.000000, 0.009979,-0.699787,-0.111037, 0.0000, 0.0000, 0.5871, 2.1959
  -11.2199,   1.4502, -1.284, 0.387626, 0.000000, 0.008693,-0.747655,-0.118347, 0.0000, 0.0000, 0.5675, 7.3629
  -10.9066,   1.5077, -1.070, 0.412821, 0.000000, 0.007712,-0.759944,-0.122183, 0.0000, 0.0000, 0.5556,15.9772
  -10.5941,   1.5651, -0.932, 0.429340, 0.000000, 0.006986,-0.754513,-0.124377, 0.0000, 0.0000, 0.5479,28.3809
  -10.2825,   1.6224, -0.838, 0.440630, 0.000000, 0.006448,-0.739839,-0.125733, 0.0000, 0.0000, 0.5427,44.8354
   -9.9721,   1.6794, -0.772, 0.448516, 0.000000, 0.006049,-0.720276,-0.126621, 0.0000, 0.0000, 0.5390,65.5462
   -9.6631,   1.7361, -0.725, 0.454068, 0.000000, 0.005751,-0.698226,-0.127226, 0.0000, 0.0000, 0.5365,90.6754
   -9.3558,   1.7926, -0.692, 0.457955, 0.000000, 0.005531,-0.675085,-0.127653, 0.0000, 0.0000, 0.5348,120.3483
   -9.0502,   1.8487, -0.668, 0.460618, 0.000000, 0.005370,-0.651690,-0.127960, 0.0000, 0.0000, 0.5337,154.6577
