xflr5 v6.57

A10 - NREL sweep 8deg V2 simple
T1-10.0 m/s-Panel-16751.8kg-x0.0m-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.295089
Cy    = ,  -0.000000
Cd=,   0.052246,ICd=,    0.052246,PCd=,    0.000000
Cl   = ,-3.52469e-15
Cm   =,   -0.979889
ICn=,    0.000000,PCn=,    0.000000
XCP=,    1.874693, YCP=,    0.000000, ZCP=,    0.524270 
XNP=,    0.000000
Bending =, 11803.190011

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -11.8479,   1.3349, -5.507, 0.723290, 0.000000, 0.069697,-1.468023,-0.055487, 0.0000, 0.0000, 0.3226, 0.0000
  -11.5337,   1.3926, -4.367, 0.975427, 0.000000, 0.074420,-1.919791,-0.079428, 0.0000, 0.0000, 0.3259, 5.9652
  -11.2199,   1.4502, -3.659, 1.113365, 0.000000, 0.071118,-2.096300,-0.092597, 0.0000, 0.0000, 0.3270,20.3021
  -10.9066,   1.5077, -3.175, 1.199057, 0.000000, 0.066403,-2.152705,-0.101341, 0.0000, 0.0000, 0.3279,44.5419
  -10.5941,   1.5651, -2.830, 1.255712, 0.000000, 0.061950,-2.146431,-0.107042, 0.0000, 0.0000, 0.3284,79.7896
  -10.2825,   1.6224, -2.579, 1.294520, 0.000000, 0.058183,-2.106061,-0.110880, 0.0000, 0.0000, 0.3286,126.8882
   -9.9721,   1.6794, -2.396, 1.321623, 0.000000, 0.055141,-2.046918,-0.113543, 0.0000, 0.0000, 0.3287,186.4964
   -9.6631,   1.7361, -2.260, 1.340681, 0.000000, 0.052749,-1.977720,-0.115442, 0.0000, 0.0000, 0.3289,259.1302
   -9.3558,   1.7926, -2.160, 1.354006, 0.000000, 0.050905,-1.903643,-0.116824, 0.0000, 0.0000, 0.3290,345.1876
   -9.0502,   1.8487, -2.088, 1.363125, 0.000000, 0.049511,-1.827831,-0.117848, 0.0000, 0.0000, 0.3291,444.9636
   -8.7466,   1.9045, -2.036, 1.369082, 0.000000, 0.048485,-1.752236,-0.118611, 0.0000, 0.0000, 0.3293,558.6594
   -8.4453,   1.9598, -2.001, 1.372612, 0.000000, 0.047757,-1.678053,-0.119185, 0.0000, 0.0000, 0.3294,686.3895
   -8.1464,   2.0147, -1.979, 1.374249, 0.000000, 0.047280,-1.606029,-0.119616, 0.0000, 0.0000, 0.3296,828.1858
   -7.8502,   2.0691, -1.968, 1.374379, 0.000000, 0.047005,-1.536574,-0.119939, 0.0000, 0.0000, 0.3298,984.0012
   -7.5568,   2.1230, -1.965, 1.373285, 0.000000, 0.046878,-1.469931,-0.120176, 0.0000, 0.0000, 0.3301,1153.7123
   -7.2665,   2.1763, -1.969, 1.371199, 0.000000, 0.046890,-1.406213,-0.120343, 0.0000, 0.0000, 0.3303,1337.1213
   -6.9794,   2.2291, -1.979, 1.368288, 0.000000, 0.047007,-1.345438,-0.120460, 0.0000, 0.0000, 0.3306,1533.9587
   -6.6958,   2.2812, -1.993, 1.364688, 0.000000, 0.047211,-1.287577,-0.120532, 0.0000, 0.0000, 0.3309,1743.8848
   -6.4158,   2.3326, -2.011, 1.360505, 0.000000, 0.047487,-1.232567,-0.120569, 0.0000, 0.0000, 0.3312,1966.4919
   -6.1396,   2.3833, -2.032, 1.355822, 0.000000, 0.047815,-1.180312,-0.120574, 0.0000, 0.0000, 0.3315,2201.3069
   -5.8675,   2.4333, -2.057, 1.350712, 0.000000, 0.048189,-1.130715,-0.120558, 0.0000, 0.0000, 0.3319,2447.7931
   -5.5995,   2.4825, -2.083, 1.345228, 0.000000, 0.048595,-1.083667,-0.120520, 0.0000, 0.0000, 0.3322,2705.3532
   -5.3360,   2.5309, -2.111, 1.339420, 0.000000, 0.049027,-1.039060,-0.120466, 0.0000, 0.0000, 0.3326,2973.3317
   -5.0770,   2.5785, -2.141, 1.333326, 0.000000, 0.049474,-0.996780,-0.120399, 0.0000, 0.0000, 0.3329,3251.0183
   -4.8227,   2.6252, -2.172, 1.326979, 0.000000, 0.049930,-0.956718,-0.120322, 0.0000, 0.0000, 0.3333,3537.6507
   -4.5734,   2.6710, -2.203, 1.320409, 0.000000, 0.050388,-0.918772,-0.120238, 0.0000, 0.0000, 0.3337,3832.4184
   -4.3292,   2.7158, -2.235, 1.313643, 0.000000, 0.050844,-0.882844,-0.120150, 0.0000, 0.0000, 0.3341,4134.4657
   -4.0902,   2.7597, -2.268, 1.306703, 0.000000, 0.051292,-0.848834,-0.120061, 0.0000, 0.0000, 0.3345,4442.8964
   -3.8567,   2.8026, -2.301, 1.299610, 0.000000, 0.051725,-0.816658,-0.119975, 0.0000, 0.0000, 0.3350,4756.7770
